char	fast	libc	winner
228	749.905ms	287.202ms	2.61x slower
229	749.890ms	287.426ms	2.61x slower
230	749.865ms	287.202ms	2.61x slower
231	749.823ms	287.198ms	2.61x slower
232	749.849ms	287.210ms	2.61x slower
233	750.231ms	287.215ms	2.61x slower
234	750.266ms	287.603ms	2.61x slower
235	750.218ms	287.258ms	2.61x slower
236	749.881ms	287.224ms	2.61x slower
237	749.921ms	287.219ms	2.61x slower
238	749.936ms	287.212ms	2.61x slower
239	750.060ms	287.453ms	2.61x slower
240	750.727ms	287.100ms	2.61x slower
241	750.741ms	287.085ms	2.62x slower
242	750.704ms	287.077ms	2.61x slower
243	750.722ms	287.084ms	2.61x slower
244	751.066ms	287.160ms	2.62x slower
245	750.745ms	287.093ms	2.61x slower
246	750.730ms	287.112ms	2.61x slower
247	750.730ms	287.106ms	2.61x slower
248	750.716ms	287.304ms	2.61x slower
249	750.976ms	287.244ms	2.61x slower
250	750.184ms	287.226ms	2.61x slower
251	749.932ms	287.232ms	2.61x slower
252	749.918ms	287.242ms	2.61x slower
253	749.994ms	287.215ms	2.61x slower
254	750.396ms	287.598ms	2.61x slower
