char	fast	libc	winner
200	51.861ms	286.502ms	5.52x faster
201	52.006ms	286.442ms	5.51x faster
202	52.011ms	286.732ms	5.51x faster
203	51.236ms	286.522ms	5.59x faster
204	51.406ms	286.593ms	5.58x faster
205	51.998ms	286.636ms	5.51x faster
206	52.045ms	286.440ms	5.50x faster
207	52.047ms	286.650ms	5.51x faster
208	52.013ms	286.587ms	5.51x faster
209	52.023ms	286.480ms	5.51x faster
210	52.050ms	286.909ms	5.51x faster
211	52.076ms	286.555ms	5.50x faster
212	52.002ms	286.501ms	5.51x faster
213	52.058ms	286.566ms	5.50x faster
214	52.004ms	286.691ms	5.51x faster
215	51.177ms	286.688ms	5.60x faster
216	51.231ms	286.944ms	5.60x faster
217	51.182ms	286.676ms	5.60x faster
218	51.978ms	286.505ms	5.51x faster
219	51.129ms	286.401ms	5.60x faster
220	51.142ms	286.472ms	5.60x faster
221	51.146ms	286.426ms	5.60x faster
222	51.143ms	286.397ms	5.60x faster
223	51.139ms	286.399ms	5.60x faster
224	51.985ms	286.398ms	5.51x faster
225	51.985ms	286.402ms	5.51x faster
226	51.984ms	286.393ms	5.51x faster
227	51.989ms	286.406ms	5.51x faster
228	51.995ms	286.629ms	5.51x faster
229	51.984ms	286.730ms	5.52x faster
230	51.153ms	286.397ms	5.60x faster
231	51.148ms	286.419ms	5.60x faster
232	51.169ms	286.632ms	5.60x faster
233	51.287ms	286.479ms	5.59x faster
234	52.015ms	286.466ms	5.51x faster
235	52.015ms	286.473ms	5.51x faster
236	52.018ms	286.447ms	5.51x faster
237	52.020ms	286.463ms	5.51x faster
238	51.997ms	286.465ms	5.51x faster
239	52.009ms	286.502ms	5.51x faster
240	51.301ms	286.456ms	5.58x faster
241	51.288ms	286.462ms	5.59x faster
242	51.281ms	286.464ms	5.59x faster
243	52.006ms	286.453ms	5.51x faster
244	51.997ms	286.781ms	5.52x faster
245	51.283ms	286.440ms	5.59x faster
246	52.018ms	286.450ms	5.51x faster
247	52.016ms	286.457ms	5.51x faster
248	52.011ms	286.451ms	5.51x faster
249	52.017ms	286.441ms	5.51x faster
250	52.011ms	286.453ms	5.51x faster
251	52.016ms	286.454ms	5.51x faster
252	52.059ms	286.470ms	5.50x faster
253	52.007ms	286.444ms	5.51x faster
254	52.015ms	286.455ms	5.51x faster
