char	fast	libc	winner
91	22.273ms	287.124ms	12.89x faster
92	21.892ms	286.497ms	13.09x faster
93	21.913ms	286.932ms	13.09x faster
94	21.896ms	286.493ms	13.08x faster
95	21.889ms	286.489ms	13.09x faster
96	21.891ms	286.710ms	13.10x faster
97	375.393ms	941.302ms	2.51x faster
98	142.813ms	636.671ms	4.46x faster
99	193.389ms	684.568ms	3.54x faster
100	265.561ms	771.335ms	2.90x faster
101	441.291ms	1145.361ms	2.60x faster
102	177.081ms	668.435ms	3.77x faster
103	165.713ms	657.187ms	3.97x faster
104	336.462ms	871.292ms	2.59x faster
105	328.938ms	862.253ms	2.62x faster
106	50.725ms	577.441ms	11.38x faster
107	106.588ms	610.346ms	5.73x faster
